id,instrumento_id,relacionado_id,tipo_relacao,descricao_relacao,similaridade_score,created_at
67c826cc-e11f-4d32-996d-cdf3bf63fd38,412c40b6-f4fc-4379-9d6f-5ce0ec2d669d,b73f1d80-3d73-487e-89b8-ab35274a8dd4,complementar,Violoncelo e contrabaixo acústico são usados juntos para formar a base harmônica.,55,2025-06-15 19:37:29.869243
68e77abe-f9cf-4b48-9c82-37cb4f9eea56,794f42a6-619a-4ca3-8f1b-c3ac7a9e7a08,9b42a23b-ac7f-42e1-8a04-bde4c525fbde,familia,Flauta e oboé pertencem à família das madeiras.,60,2025-06-15 19:45:28.153612
6ae81249-625a-425c-af66-cb144d41635c,35aff373-706c-47d8-8004-d8edcddb1e0c,df49fd27-9bcd-4462-a0f8-b36f0ff9f97f,familia,Baixo elétrico e guitarra pertencem à família das cordas e possuem afinações semelhantes.,70,2025-06-16 04:51:01.752411
7103b1de-60c3-4fa7-bcaf-bb43c28a0de3,26cadf44-6d7b-4f9b-85d6-6b2c40715f45,36b9d36d-f65b-4ba1-89be-4ab3707e874c,similar,Saxofone e fagote compartilham algumas técnicas de respiração e fraseado.,50,2025-06-16 02:29:36.755484
73301c49-eaf4-4b4e-a3d6-0efcfa7d2c3d,ab9720a5-1973-484e-9a44-d4aa62594336,8bd473f1-7b35-4b9e-869a-17fb73c6e047,familia,Ambos são instrumentos de teclado com potencial harmônico completo,85,2025-06-08 19:06:57.354797
763b8b31-425e-47a7-8d28-57fa607995c0,36b9d36d-f65b-4ba1-89be-4ab3707e874c,794f42a6-619a-4ca3-8f1b-c3ac7a9e7a08,complementar,"Fagote e flauta se complementam na orquestra, cobrindo registros diferentes.",60,2025-06-20 02:57:38.850552
79ba6731-a4a6-4002-b19f-00bd2b04c9db,9edff4db-9ef5-43fc-970a-7d2086de223b,80436b4f-15c1-452f-9442-34e42b5117e4,familia,Cordas friccionadas,90,2025-09-22 11:52:20.661108
7c46d866-5db9-42f1-b453-8df45340d723,b73f1d80-3d73-487e-89b8-ab35274a8dd4,80436b4f-15c1-452f-9442-34e42b5117e4,familia,Contrabaixo acústico e violino fazem parte da mesma família das cordas friccionadas.,70,2025-06-16 05:37:27.057226
7d1c8c8a-537f-4354-87ee-85495094b533,26cadf44-6d7b-4f9b-85d6-6b2c40715f45,9b42a23b-ac7f-42e1-8a04-bde4c525fbde,complementar,Saxofone e oboé se complementam em orquestra e grupos de câmara.,55,2025-06-16 02:29:36.755484
82f28495-9f03-496d-aa0a-c25cec3919d8,df49fd27-9bcd-4462-a0f8-b36f0ff9f97f,86f83611-c0db-470c-87e7-31ee81b1a009,complementar,"Guitarra e bateria formam a base rítmica do rock, criando a seção rítmica fundamental da música moderna.",75,2025-06-09 04:26:07.641004
885653c3-850f-49ec-a922-a1c7e5b6d2b3,36b9d36d-f65b-4ba1-89be-4ab3707e874c,26cadf44-6d7b-4f9b-85d6-6b2c40715f45,similar,Fagote e saxofone compartilham algumas técnicas de sopro e articulação.,50,2025-06-20 02:57:38.850552
8d858ce6-05c5-4cbb-8dae-a61b0567684f,9edff4db-9ef5-43fc-970a-7d2086de223b,b73f1d80-3d73-487e-89b8-ab35274a8dd4,familia,Cordas friccionadas,90,2025-09-22 11:52:20.661108
957ca93f-391c-4d94-b2c5-65a10c722607,509d6a26-159a-4976-aa46-83f914f930aa,174f6ed4-3c21-444a-acfa-5149f53f2ca0,complementar,Trompete e tuba se complementam cobrindo registros diferentes na orquestra.,60,2025-06-16 04:01:57.127594
965e8d0e-1a10-40cc-ba57-33e74638ce70,d7c80fe1-ab43-4920-b2aa-d9b4f3ace166,26cadf44-6d7b-4f9b-85d6-6b2c40715f45,similar,Clarinete e saxofone utilizam palheta simples e têm embocadura semelhante.,70,2025-06-15 19:32:05.298555
997033dc-043c-4b22-8512-6b7bb6177c4e,35aff373-706c-47d8-8004-d8edcddb1e0c,b73f1d80-3d73-487e-89b8-ab35274a8dd4,similar,Baixo elétrico e contrabaixo acústico compartilham função rítmica e harmônica.,75,2025-06-16 04:51:01.752411
9d48f9c9-36f8-49d6-8cc2-ed93aae065f4,850c53c4-2ed6-4a12-a4ff-3fbaecd6bf73,174f6ed4-3c21-444a-acfa-5149f53f2ca0,complementar,Trombone e tuba se complementam na base harmônica das formações orquestrais.,65,2025-06-21 02:36:48.627562
a05b3aab-35f1-439e-ab4c-951018ea1520,df49fd27-9bcd-4462-a0f8-b36f0ff9f97f,8bd473f1-7b35-4b9e-869a-17fb73c6e047,complementar,"Teclado e guitarra se complementam harmonicamente, cobrindo diferentes registros e texturas na música popular.",70,2025-06-09 04:26:07.641004
ab915f40-f700-4aa2-8e3b-73d67b5f5cbe,26cadf44-6d7b-4f9b-85d6-6b2c40715f45,794f42a6-619a-4ca3-8f1b-c3ac7a9e7a08,familia,Saxofone e flauta pertencem à família das madeiras e compartilham técnicas de sopro.,60,2025-06-16 02:29:36.755484
af9ca609-53ff-4303-a2d5-fca85de5bf6e,9edff4db-9ef5-43fc-970a-7d2086de223b,750450cf-e14e-4f02-944e-b3c1bb0f87a4,familia,Cordas friccionadas,90,2025-09-22 11:52:20.661108
b3828fd0-44dd-4bc6-84da-dc13b8f7031a,9b42a23b-ac7f-42e1-8a04-bde4c525fbde,36b9d36d-f65b-4ba1-89be-4ab3707e874c,familia,Oboé e fagote pertencem à família das madeiras e utilizam palheta dupla.,70,2025-06-20 13:37:17.090714
b5254b8a-f498-413f-a79a-abfda0c136c4,750450cf-e14e-4f02-944e-b3c1bb0f87a4,ab9720a5-1973-484e-9a44-d4aa62594336,familia,"Ambos são instrumentos de corda, embora o piano use martelos e o violão dedilhado",70,2025-06-08 01:10:16.360705
bb0e8400-e29b-41d4-a716-446655550001,86f83611-c0db-470c-87e7-31ee81b1a009,9a5e0eac-114e-4173-90af-32b55c870675,familia,,,2025-06-09 03:05:09.096012
bb0e8400-e29b-41d4-a716-446655550002,86f83611-c0db-470c-87e7-31ee81b1a009,ab9720a5-1973-484e-9a44-d4aa62594336,similar,,,2025-06-09 03:05:09.096012
bb0e8400-e29b-41d4-a716-446655550003,86f83611-c0db-470c-87e7-31ee81b1a009,35aff373-706c-47d8-8004-d8edcddb1e0c,similar,,,2025-06-09 03:05:09.096012
bb0e8400-e29b-41d4-a716-446655550004,86f83611-c0db-470c-87e7-31ee81b1a009,df49fd27-9bcd-4462-a0f8-b36f0ff9f97f,similar,,,2025-06-09 03:05:09.096012
bb2f9214-041e-420d-be2d-2cf0a3f202e2,794f42a6-619a-4ca3-8f1b-c3ac7a9e7a08,36b9d36d-f65b-4ba1-89be-4ab3707e874c,complementar,"Flauta e fagote se complementam em orquestra, cobrindo registros extremos.",55,2025-06-15 19:45:28.153612
bc919633-6dff-4b71-bd5c-22042cc42e9d,750450cf-e14e-4f02-944e-b3c1bb0f87a4,8bd473f1-7b35-4b9e-869a-17fb73c6e047,similar,Ambos são instrumentos melódicos e harmônicos populares no ensino musical,65,2025-06-08 01:10:16.360705
c15bfd80-e9a4-4ed9-9ea9-3e7fea9a0659,80436b4f-15c1-452f-9442-34e42b5117e4,412c40b6-f4fc-4379-9d6f-5ce0ec2d669d,familia,"Ambos pertencem à família das cordas friccionadas, o violoncelo sendo o irmão maior do violino com registro mais grave.",85,2025-06-09 03:44:46.55832
c9e73bbc-d930-457f-b571-b467d0927abb,80436b4f-15c1-452f-9442-34e42b5117e4,ab9720a5-1973-484e-9a44-d4aa62594336,complementar,"Piano e violino formam uma das duplas mais tradicionais da música clássica, com vasto repertório de sonatas e concertos.",75,2025-06-09 03:44:46.55832
cefab709-458d-4009-9c1f-44c9d0cb6618,b73f1d80-3d73-487e-89b8-ab35274a8dd4,750450cf-e14e-4f02-944e-b3c1bb0f87a4,complementar,Contrabaixo acústico e violão se complementam em arranjos de música popular e clássica.,60,2025-06-16 05:37:27.057226
d3bf196e-8ae5-4e9b-b267-55f17f6445d2,9edff4db-9ef5-43fc-970a-7d2086de223b,412c40b6-f4fc-4379-9d6f-5ce0ec2d669d,familia,Cordas friccionadas,90,2025-09-22 11:52:20.661108
e40506ff-2bb8-466e-8297-2887da2bb81d,80436b4f-15c1-452f-9442-34e42b5117e4,750450cf-e14e-4f02-944e-b3c1bb0f87a4,similar,"Violão e violino compartilham técnicas de cordas e são instrumentos melódicos versáteis, ambos populares em diversos gêneros musicais.",70,2025-06-09 03:44:46.55832
e91e2afd-efbf-4783-8b7b-725df13a2839,ab9720a5-1973-484e-9a44-d4aa62594336,750450cf-e14e-4f02-944e-b3c1bb0f87a4,familia,Ambos são instrumentos de teclado com potencial harmônico completo,85,2025-06-08 15:19:18.975914
ea6e7e65-921a-4827-b065-5489e6fa6084,850c53c4-2ed6-4a12-a4ff-3fbaecd6bf73,509d6a26-159a-4976-aa46-83f914f930aa,familia,Trombone e trompete pertencem à família dos metais e compartilham princípios de sopro.,70,2025-06-21 02:36:48.627562
